"filename", "language", "YAML", "Swift", "C++", "Markdown", "XML", "JSON", "Dart", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\post\comment\firestore_reply.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 11, 64
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\post\firestore_post.dart", "Dart", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 15, 140
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\story\firestore_story.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 6, 53
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\user\firestore_user_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 375, 0, 0, 0, 3, 40, 418
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\models\child_classes\notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 1, 4, 64
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\models\child_classes\post\post.dart", "Dart", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 3, 5, 79
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\models\child_classes\post\story.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 4, 57
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\models\parent_classes\post\parent_post.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\models\parent_classes\without_sub_classes\comment.dart", "Dart", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 6, 75
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\models\parent_classes\without_sub_classes\message.dart", "Dart", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 1, 6, 120
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\models\parent_classes\without_sub_classes\push_notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\models\parent_classes\without_sub_classes\user_personal_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 1, 5, 109
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\repositories_impl\calling_rooms_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 7, 112
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\repositories_impl\firebase_auth_repository_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\repositories_impl\firestore_notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\repositories_impl\firestore_story_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 6, 62
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\repositories_impl\firestore_user_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 1, 24, 278
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\repositories_impl\group_message_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 9, 82
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\repositories_impl\post\comment\firestore_comment_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 8, 60
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\repositories_impl\post\comment\firestore_reply_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 7, 60
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\repositories_impl\post\firestore_post_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 12, 127
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\entities\calling_status.dart", "Dart", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\entities\definition.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\entities\followed_user_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\entities\followers_user_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\entities\notification_check.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 4, 28
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\entities\registered_user.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\entities\sender_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 1, 16
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\entities\specific_users_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\repositories\auth_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\repositories\calling_rooms_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\repositories\definition.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\repositories\firestore_notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\repositories\group_message.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\repositories\post\comment\comment_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\repositories\post\comment\reply_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\domain\repositories\post\post_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
