"filename", "language", "C++", "CMake", "JSON", "Dart", "YAML", "HTML", "Markdown", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter-clean-architecture-instagram\assets\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\send.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\share-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\share.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\shop_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\shop_white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\sticker.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\sticker_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\sticker_blod.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\video.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\video_point.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\warning.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\splash\instagram-icon-splash.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\translations\ar.json", "JSON", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124
"d:\flutter-clean-architecture-instagram\assets\translations\en.json", "JSON", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124
"d:\flutter-clean-architecture-instagram\firebase.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
